year,has_company_mention
1995.0,0.00847457627118644
1996.0,0.008460236886632826
1997.0,0.012779552715654952
1998.0,0.006024096385542169
1999.0,0.014519056261343012
2000.0,0.019311502938706968
2001.0,0.04071246819338423
2002.0,0.03281378178835111
2003.0,0.030548068283917342
2004.0,0.02080083203328133
2005.0,0.027799227799227798
2006.0,0.02827024436990896
2007.0,0.029797377830750895
2008.0,0.0319634703196347
2009.0,0.040806969280146724
2010.0,0.03060217176702863
2011.0,0.037399821905609976
2012.0,0.02879192638765212
2013.0,0.038173385658223334
2014.0,0.03715846994535519
2015.0,0.03900949796472185
2016.0,0.041121495327102804
2017.0,0.04398216939078752
2018.0,0.07358412567176519
2019.0,0.09366498251068792
2020.0,0.10540431809038488
2021.0,0.1311806256306761
2022.0,0.1330034924330617
